x,y,z,line
605,75,383,SWAGGER SINCE BEFORE THE  INTERNET WAS BORN
609,51,14,Cgtdream loves you!!! 1/31/2019 
609,51,15,PRThomas 2/2/19  
609,51,16,YuoSM 4/3/19  
640,28,28,I was here   
1000,99,1001, He didn't even got to the end
1000,99,1000," as he wished: ""no bitch niggas"" "
1000,100,999, R.I.P Etika 
1004,97,999, 2019-06-25 by IronException
605,50,8635,   
13986,57,-20177, portal underneath 
980,59,4509,Nice place!  Bynrsy 5 April 2017
980,59,4507,"Rest now, Your journey has only begun... "
7736,60,-17849,Storm_Bacca was here 11.29.16 
7738,61,-17849,Storm_Bacca thx for the food  
7739,61,-17849,"--------------- Storm Bacca ""Your not the only one this far"
8018,64,-1841,dibs  -byrnsy 
7772,147,-4486,"Visited by Breathfire Feb 04, 2017. Not the first :("
7855,137,-4388,"Breathfire got his first shulker box here Feb 04, 2017"
5172,141,6156,I fell off this and died and came back -x100x3 5/9/17
5562,60,6411,This place is of  no importance. I was just really bored. 3/11/19
5574,61,6437,<-   
5227,61,12130,Thanks Spartan for letting me fly. Lol. -DragonTomas
5226,61,12130,06/02/17   
7881,57,4596,LOL I ran out of redstone blocks. -Masogir
-888,76,-2,Found a end portal fucksakes. HalfAwake 9/14/2019
-528,1,-109,Thanks for finding me.  2nd March 2019
-528,3,-109,=============== HERE LIES LIGHTLIM ===============
-528,2,-109,My final resting place. This server is a dark one.
8679,67,-9632,2018-01-24 I built this humble shack. -HazMattMC
8679,66,-9632,"By the way, there is a return portal at: 8860  -9652"
5124,60,2987,killuaMC estubo aqui alias arcantos 03/11/2017
5124,58,2984,I came here to fuck your mom's pussy 6/12/2016
5125,59,2984,GoodRowan  Nov 2017 
5124,59,2984,"I came to spawn to make a giant map of it, now we here -house1"
5123,58,2984,DEADWHISKERS touched your stuff with cum on my hands
5124,60,2988,I'm Razuh It's June 2019 I still got dat skill
5201,64,2954,   
5200,64,2954,   
-560,121,-12361,Raided by CrysisAverted  5/2/2017
-1013,49,-1345, SCOTT  
-1012,49,-1346, FREE  
-1020,47,-1330, wank stain  
-16102,75,-1,a newfag was here  9/1/2019
5806,61,-6367,msg me   
5806,62,-6367,avrg_savg was here nice stash ?or was it a dup?
5846,60,-6349,Cobble Gen   -WarLordN1k
5857,61,-6349,Yee   
6023,63,-8632,Jack found this place on 12/3/16 As seen on Torogadude's
6026,63,-8632,"Tried to make a mob grinder, didnt have all the materials... jumpd"
6025,63,-8632,off the edge 2 get home. Enjoy the free shit.-Popzi110716
6031,62,-8634,   
6022,63,-8632,"Series ""2b2t:The Hunt"" Check it out!                 /shill"
6032,62,-8634,   
-15903,61,-8654,to be continued 13.3.17 somebody 
-15878,89,-8652,endless jungle also jacktherippa is a faking fag !!!
8445,57,38,"okay, which funny guy built these highways all wrong? -shep"
-838,2,28,rip   
5848,57,-15929, nothing to see  here
5943,62,-16608,keep building 4k ahead to find my dupe stash 
-559,8,1521,ez  -V3L 
-559,9,1520,yeet   
5849,98,-2192,"Mined by Breathfire on Feb 3, 2017 Arr m8y"
